,slice,leye,reye
0,34,"(754, 390)","(884, 422)"
1,34,"(752, 391)","(884, 422)"
2,34,"(754, 386)","(885, 418)"
3,34,"(752, 389)","(884, 420)"
4,34,"(738, 385)","(869, 411)"
5,34,"(723, 381)","(855, 403)"
6,34,"(711, 378)","(846, 396)"
7,34,"(708, 381)","(842, 399)"
8,34,"(706, 380)","(841, 398)"
9,34,"(700, 375)","(835, 394)"
10,34,"(704, 376)","(837, 397)"
11,34,"(708, 378)","(841, 399)"
12,34,"(711, 379)","(844, 401)"
13,34,"(712, 380)","(844, 402)"
14,34,"(710, 381)","(843, 402)"
15,34,"(709, 383)","(842, 404)"
16,34,"(711, 381)","(845, 403)"
17,34,"(711, 380)","(843, 402)"
18,33,"(713, 382)","(846, 404)"
19,33,"(714, 378)","(847, 401)"
20,30,,
21,30,"(718, 386)","(849, 410)"
22,27,"(717, 377)","(849, 403)"
23,27,"(716, 374)","(847, 400)"
24,23,"(706, 371)","(838, 392)"
25,23,"(700, 371)","(832, 391)"
26,23,"(700, 381)","(804, 395)"
27,23,"(691, 375)","(822, 391)"
28,23,"(687, 371)","(818, 386)"
29,22,"(686, 371)","(817, 384)"
30,22,"(689, 373)","(821, 385)"
31,22,"(686, 375)","(818, 385)"
32,22,,
33,20,"(680, 373)","(810, 381)"
34,20,"(681, 376)","(813, 383)"
35,20,"(684, 379)","(814, 385)"
36,16,"(682, 385)","(813, 390)"
37,16,"(683, 387)","(814, 391)"
38,16,"(680, 389)","(809, 392)"
39,15,"(677, 380)","(810, 384)"
40,15,"(679, 381)","(811, 385)"
41,15,"(678, 382)","(810, 385)"
42,15,"(678, 380)","(810, 384)"
43,15,"(685, 372)","(815, 379)"
44,15,"(689, 373)","(820, 379)"
45,15,"(688, 371)","(821, 377)"
46,15,"(693, 371)","(822, 378)"
47,15,"(689, 371)","(821, 377)"
48,15,"(687, 374)","(819, 381)"
49,15,"(687, 376)","(819, 382)"
50,15,"(686, 378)","(819, 384)"
51,15,"(687, 376)","(820, 384)"
52,15,"(690, 376)","(822, 384)"
53,15,"(692, 373)","(823, 382)"
54,15,"(691, 375)","(821, 384)"
55,15,"(692, 377)","(819, 385)"
56,15,"(693, 373)","(821, 381)"
57,15,"(692, 372)","(823, 380)"
58,15,"(691, 371)","(821, 381)"
59,15,"(693, 371)","(821, 380)"
60,15,"(700, 385)","(801, 391)"
61,15,"(668, 386)","(799, 391)"
62,15,"(661, 385)","(792, 388)"
63,15,"(666, 386)","(797, 389)"
64,15,"(662, 387)","(791, 390)"
65,15,"(654, 389)","(786, 390)"
66,15,"(645, 391)","(777, 391)"
67,15,"(642, 392)","(773, 392)"
68,15,"(639, 392)","(771, 392)"
69,15,"(640, 392)","(771, 392)"
70,15,"(640, 392)","(772, 392)"
71,15,"(641, 393)","(772, 393)"
72,15,"(641, 393)","(773, 393)"
73,15,"(643, 395)","(774, 395)"
74,15,"(643, 394)","(775, 395)"
75,15,"(643, 396)","(774, 397)"
76,15,"(642, 396)","(774, 396)"
77,15,"(641, 395)","(773, 395)"
78,15,"(641, 394)","(773, 394)"
79,15,"(641, 394)","(772, 394)"
80,15,"(641, 393)","(772, 393)"
81,15,"(639, 392)","(771, 393)"
82,15,"(662, 399)","(769, 401)"
83,15,"(663, 393)","(794, 395)"
84,15,"(664, 390)","(796, 394)"
85,15,"(670, 386)","(802, 391)"
86,15,"(675, 392)","(806, 396)"
87,15,"(678, 389)","(810, 393)"
88,15,"(678, 387)","(809, 391)"
89,15,"(679, 388)","(810, 392)"
90,15,"(677, 391)","(809, 394)"
91,15,"(678, 392)","(810, 395)"
92,15,"(678, 394)","(809, 397)"
93,15,"(662, 406)","(794, 407)"
94,15,"(649, 400)","(778, 402)"
95,15,"(647, 401)","(777, 404)"
96,15,"(646, 401)","(777, 404)"
97,15,"(647, 401)","(778, 404)"
98,15,"(650, 399)","(782, 402)"
99,15,"(651, 399)","(783, 403)"
100,15,"(653, 399)","(785, 401)"
101,15,"(653, 398)","(786, 400)"
102,15,"(677, 399)","(807, 404)"
103,15,"(687, 399)","(815, 404)"
104,15,"(680, 394)","(812, 399)"
105,15,"(681, 394)","(814, 399)"
106,15,"(683, 399)","(812, 404)"
107,15,"(671, 398)","(804, 402)"
108,15,"(660, 395)","(796, 398)"
